model,task,fit_type,r2,rmse,saturation_tokens,asymptote,ftest_F,ftest_p,ftest_significant,sat_median,sat_ci_lower,sat_ci_upper,bootstrap_fit_rate
llama-3.3-70b,product_extraction,sigmoid,0.9426004666756487,0.00681411201058027,91.96406406406408,0.832378174821939,16.421744430381235,0.022939712509758438,True,95.11028528528529,82.9227077077077,312.01780780780774,1.0
kimi-k2,qa,logarithmic,0.0967323092235669,0.012916191864324992,33.85,0.9106132542870867,0.21418303834252614,0.81589252120059,False,33.8,33.1,34.70125,1.0
kimi-k2,summarization,logarithmic,0.6644460088136522,0.0049565457511543684,94.75,0.9746970416341882,3.960292687710315,0.11259648100108756,False,94.75,90.95,98.30125,1.0
kimi-k2,classification,sigmoid,0.9547238594873266,0.013906194668348448,57.33108108108108,0.9250187671901906,21.086688235276746,0.016131113516365245,True,57.48198198198198,55.34904904904905,236.70847847847847,1.0
kimi-k2,instruction_following,logarithmic,0.027061009985425044,0.0054117879845033065,41.3,0.7901094982177813,0.05562735230709508,0.9466102782905812,False,41.4,40.4,167.03132382382384,1.0
kimi-k2,math_reasoning,sigmoid,0.33874411323483244,0.10129128730490823,73.5902902902903,0.9679209413075321,0.5122738716050644,0.7017003571937068,False,73.40585585585586,70.82719094094095,76.1056493993994,1.0
kimi-k2,product_extraction,logarithmic,0.6954952219331706,0.029984427511633063,342.47667667667673,0.9992817972322279,4.568041436647216,0.09272315986552904,False,354.46611611611615,73.84609109109108,561.4178453453453,1.0
gpt-4o-mini,qa,logarithmic,0.6462164228778855,0.006023360095289233,14.8,0.9265890011158385,3.6531736613360803,0.1251628194413192,False,14.8,14.05,15.65,1.0
gpt-4o-mini,summarization,logarithmic,0.35638716792112846,0.0040722084478631865,76.25,0.9502854417176543,1.1074582424654174,0.4142374776165857,False,76.25,72.54875,80.3025,1.0
gpt-4o-mini,classification,sigmoid,0.9767313020083095,0.00981980504600701,49.61361361361361,0.9475000000593408,41.976190604094455,0.005983453314003659,True,49.7027027027027,46.41621621621622,229.69494744744745,1.0
gpt-4o-mini,instruction_following,logarithmic,0.38631622021557777,0.012851550248667342,22.35,0.7925783912164306,1.2590074332786985,0.37660778157049535,False,22.3,21.35,23.3,1.0
gpt-4o-mini,math_reasoning,sigmoid,0.17837188448183983,0.12482540099902532,54.19864864864865,0.9530646719395708,0.21709564353131888,0.879187722239182,False,55.35302802802803,51.88582957957958,117.0067242242242,1.0
gpt-4o-mini,product_extraction,sigmoid,0.8769493403495525,0.01729235840307353,422.36356356356356,1.0729936633390653,7.126734166567823,0.07051064064821067,False,315.5128128128128,58.26136636636637,525.6552177177177,1.0
claude-haiku,qa,logarithmic,0.6175767210710347,0.010183469316584051,15.35,0.9364988156704651,3.2298071540030326,0.1462475642667812,False,15.3,14.39875,16.401249999999997,1.0
claude-haiku,summarization,logarithmic,0.824393763151656,0.005892204153376571,82.9,0.9742213762786988,9.38911712872264,0.0308375504200367,True,82.95,78.24625,87.25,1.0
claude-haiku,classification,sigmoid,0.6461425563558373,0.011511559488379378,38.5,0.9618745904135104,1.825996790406916,0.3166099589901039,False,39.2,36.95,73.80611111111111,1.0
claude-haiku,instruction_following,logarithmic,0.07115087000139697,0.0075096212597042,23.1,0.8054350719889999,0.15320221057106223,0.8627607062991618,False,23.05,21.99875,24.402499999999996,1.0
claude-haiku,math_reasoning,sigmoid,0.22764696824602737,0.11492531457210299,60.36756756756756,0.9974230457814565,0.29474470726042634,0.8287643951961247,False,60.26226226226226,57.10178678678679,63.67677677677678,1.0
claude-haiku,product_extraction,sigmoid,0.9802437220033889,0.008839860592235991,535.6043043043043,2.765343251041985,49.61682165899565,0.004686144446047254,True,509.05172672672677,233.18379754754756,586.2643130630631,1.0
